SeriesHash,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
00003F0D,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.017,191,"[0.999384, 0.0350748, -0.000672749, -0.0100196, 0.267004, -0.963643]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-011\DICOM\0000679B\AACFD82F\AA304FD7\00003F0D\00003F0D_cor_t2_tse_20251118000000_16.nii.gz
00008245,3.0,2D,*tse2d1_17,5.0,0.086,5.77,150,17,4.0,40.369,193,"[0.999848, 0.0171905, 0.00301232, -0.0174524, 0.984842, 0.172576]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-011\DICOM\0000679B\AACFD82F\AA304FD7\00008245\00008245_ax_t2_tse_Med_DRS_480_20251118000000_3.nii.gz
0000CBD9,3.0,2D,*tse2d1_17,5.0,0.088,5.91,150,17,2.0,195.009,191,"[0.999848, 0.0171905, 0.00301232, -0.0174524, 0.984842, 0.172576]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-011\DICOM\0000679B\AACFD82F\AA304FD7\0000CBD9\0000CBD9_ax_t2_tse_20251118000000_2.nii.gz
00000C5E,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,165.579,191,"[0.996674, -0.0606974, 0.0543844, 0.0606152, 0.998156, 0.00316104]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-010\DICOM\0000AEC8\AA02806E\AA5C7CB0\00000C5E\00000C5E_ax_t2_tse_20251114000000_2.nii.gz
0000E508,3.0,2D,*tse2d1_17,5.0,0.086,5.38,150,17,4.0,32.259,193,"[0.996674, -0.0606922, 0.0543844, 0.06061, 0.998157, 0.00316075]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-010\DICOM\0000AEC8\AA02806E\AA5C7CB0\0000E508\0000E508_ax_t2_tse_Med_DRS_480_20251114000000_3.nii.gz
0000736D,3.0,2D,*tse2d1_17,5.0,0.088,5.91,150,17,2.0,195.009,191,"[0.998578, 0.0177751, -0.0502554, -0.0174302, 0.999821, 0.00729133]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-009\DICOM\0000358D\AA664389\AA81B654\0000736D\0000736D_ax_t2_tse_20251113000000_2.nii.gz
0000A7D4,3.0,2D,*tse2d1_17,5.0,0.086,5.77,150,17,4.0,40.369,193,"[0.998578, 0.0177751, -0.0502554, -0.0174302, 0.999821, 0.00729133]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-009\DICOM\0000358D\AA664389\AA81B654\0000A7D4\0000A7D4_ax_t2_tse_Med_DRS_480_20251113000000_3.nii.gz
0000318C,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.017,191,"[0.999995, -0.00322033, -0.00067275, 0.000212155, 0.267192, -0.963643]","['anat', '_acq-tse2p2_run-21_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-008\DICOM\0000B428\AA052CA9\AAC04D0F\0000318C\0000318C_cor_t2_tse_20251108000000_21.nii.gz
0000DAA0,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.998192, 0.0196112, -0.0568195, -0.0174235, 0.999097, 0.0387461]","['anat', '_acq-tse2p4_run-4_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-008\DICOM\0000B428\AA052CA9\AAC04D0F\0000DAA0\0000DAA0_ax_t2_tse_Med_DRS_480_20251108000000_4.nii.gz
0000E9B2,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.998192, 0.0196112, -0.0568195, -0.0174235, 0.999097, 0.0387461]","['anat', '_acq-tse2p2_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-008\DICOM\0000B428\AA052CA9\AAC04D0F\0000E9B2\0000E9B2_ax_t2_tse_20251108000000_3.nii.gz
00006F22,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.999333, 0.0171649, 0.0322217, -0.0222668, 0.985985, 0.165342]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-007\DICOM\00007ABD\AA3298BF\AA35022C\00006F22\00006F22_ax_t2_tse_20251105000000_2.nii.gz
0000C111,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.017,191,"[0.996994, 0.0774704, -0.000672896, -0.0212885, 0.265598, -0.963849]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-007\DICOM\00007ABD\AA3298BF\AA35022C\0000C111\0000C111_cor_t2_tse_20251105000000_16.nii.gz
0000C8F1,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.999332, 0.0172263, 0.032232, -0.022329, 0.985984, 0.16534]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-007\DICOM\00007ABD\AA3298BF\AA35022C\0000C8F1\0000C8F1_ax_t2_tse_Med_DRS_480_20251105000000_3.nii.gz
