SeriesHash,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
0000E150,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,88.997,191,"[0.998442, 0.0557964, -0.00069399, -0.00675796, 0.108565, -0.994066]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-026\DICOM\000011EE\AAE027E8\AAD3A7CA\0000E150\0000E150_cor_t2_tse_20251204000000_16.nii.gz
0000D888,1.5,2D,*tse2d1_17,5.0,0.092,5.09,150,17,2.0,167.949,191,"[0.996233, 0.0863918, -0.00751098, -0.0808928, 0.957032, 0.278473]","['anat', '_acq-tse2p2_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-025\DICOM\000042BD\AA852F01\AA7C0042\0000D888\0000D888_ax_t2_tse_20251217000000_3.nii.gz
0000EC62,1.5,2D,*tse2d1_17,5.0,0.092,6.36,150,17,2.0,88.997,191,"[0.994782, 0.101174, 0.0131625, -0.0249234, 0.366078, -0.93025]","['anat', '_acq-tse2p2_run-14_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-025\DICOM\000042BD\AA852F01\AA7C0042\0000EC62\0000EC62_cor_t2_tse_20251217000000_14.nii.gz
000025C4,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.998966, 0.0382448, 0.0245959, -0.037735, 0.99907, -0.0208657]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-024\DICOM\0000CD50\AAAB7B2C\AAD0BCC4\000025C4\000025C4_ax_t2_tse_20251203000000_2.nii.gz
00007A9D,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.998968, 0.0381878, 0.0245971, -0.037678, 0.999072, -0.0208643]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-024\DICOM\0000CD50\AAAB7B2C\AAD0BCC4\00007A9D\00007A9D_ax_t2_tse_Med_DRS_480_20251203000000_3.nii.gz
000012F5,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.98958, -0.0124569, -0.143444, 0.017726, 0.999212, 0.0355134]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-023\DICOM\0000E18F\AA0B22C3\AA4D4518\000012F5\000012F5_ax_t2_tse_20251203000000_2.nii.gz
0000BBEF,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.989579, -0.012523, -0.143447, 0.0177915, 0.999211, 0.0355039]","['anat', '_acq-tse2p4_run-5_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-023\DICOM\0000E18F\AA0B22C3\AA4D4518\0000BBEF\0000BBEF_ax_t2_tse_Med_DRS_480_20251203000000_5.nii.gz
0000E559,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.012,191,"[0.99842, -0.0561817, -0.000675699, 0.0134751, 0.251109, -0.967865]","['anat', '_acq-tse2p2_run-11_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-023\DICOM\0000E18F\AA0B22C3\AA4D4518\0000E559\0000E559_cor_t2_tse_20251203000000_11.nii.gz
000013D5,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.999815, 0.0162638, -0.0102408, -0.0174518, 0.991457, -0.129262]","['anat', '_acq-tse2p4_run-11_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-022\DICOM\000093AF\AA75036C\AAE2D4E0\000013D5\000013D5_ax_t2_tse_Med_DRS_480_20251129000000_11.nii.gz
00002B9F,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,89.017,191,"[0.999977, 0.00679163, -4.06649e-10, -0.00161834, 0.238279, -0.971195]","['anat', '_acq-tse2p2_run-10_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-022\DICOM\000093AF\AA75036C\AAE2D4E0\00002B9F\00002B9F_cor_t2_tse_20251129000000_10.nii.gz
0000D7B6,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.999815, 0.0162638, -0.0102408, -0.0174518, 0.991457, -0.129262]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-022\DICOM\000093AF\AA75036C\AAE2D4E0\0000D7B6\0000D7B6_ax_t2_tse_20251129000000_2.nii.gz
0000059A,3.0,2D,*tse2d1_17,5.0,0.088,5.72,150,17,2.0,188.739,191,"[0.999848, 0.0174147, 0.00114689, -0.0174524, 0.997686, 0.065705]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-021\DICOM\0000F27D\AA56F42F\AAF74819\0000059A\0000059A_ax_t2_tse_20251127000000_2.nii.gz
0000D29F,3.0,2D,*tse2d1_17,5.0,0.086,5.57,150,17,4.0,38.969,193,"[0.999848, 0.0174147, 0.00114689, -0.0174524, 0.997686, 0.065705]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-021\DICOM\0000F27D\AA56F42F\AAF74819\0000D29F\0000D29F_ax_t2_tse_Med_DRS_480_20251127000000_3.nii.gz
0000E360,3.0,2D,*tse2d1_17,5.0,0.088,6.5,150,17,2.0,90.977,191,"[0.999568, 0.0293888, -0.000672734, -0.00850269, 0.267134, -0.963622]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-021-032\Min-Mo-021\DICOM\0000F27D\AA56F42F\AAF74819\0000E360\0000E360_cor_t2_tse_20251127000000_16.nii.gz
0000045C,3.0,2D,*tse2d1_17,5.0,0.086,5.57,150,17,4.0,38.969,193,"[1, 4.876e-12, -4.5e-13, -4.897e-12, 0.99577, -0.091881]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-020\DICOM\00003A0B\AA0AE18F\AA8BA9AE\0000045C\0000045C_ax_t2_tse_Med_DRS_480_20251127000000_3.nii.gz
00007A28,3.0,2D,*tse2d1_17,5.0,0.088,5.72,150,17,2.0,188.739,191,"[1, 4.876e-12, -4.5e-13, -4.897e-12, 0.99577, -0.091881]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-020\DICOM\00003A0B\AA0AE18F\AA8BA9AE\00007A28\00007A28_ax_t2_tse_20251127000000_2.nii.gz
00000872,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17,2.0,88.997,191,"[0.99851, -0.0545562, -0.000687835, 0.00865952, 0.170912, -0.985248]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-019\DICOM\00008F2E\AA3FA733\AAC5241D\00000872\00000872_cor_t2_tse_20251126000000_16.nii.gz
0000C5AD,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.998594, -0.0344273, -0.0403065, 0.0372279, 0.996786, 0.0709302]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-019\DICOM\00008F2E\AA3FA733\AAC5241D\0000C5AD\0000C5AD_ax_t2_tse_20251126000000_2.nii.gz
0000CC99,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.614,193,"[0.998591, -0.034514, -0.0403126, 0.0373148, 0.996783, 0.0709267]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-019\DICOM\00008F2E\AA3FA733\AAC5241D\0000CC99\0000CC99_ax_t2_tse_Med_DRS_480_20251126000000_3.nii.gz
00004124,3.0,2D,*tse2d1_17,5.0,0.088,5.13,150,17,2.0,169.269,191,"[0.998955, 0.00624736, -0.045271, -1.62815e-10, 0.990612, 0.136704]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-018\DICOM\00009790\AA6245DD\AA5FF5E0\00004124\00004124_ax_t2_tse_20251126000000_2.nii.gz
0000EA4B,3.0,2D,*tse2d1_17,5.0,0.086,5.52,150,17,4.0,38.599,193,"[0.998955, 0.00624736, -0.045271, -1.62815e-10, 0.990612, 0.136704]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-018\DICOM\00009790\AA6245DD\AA5FF5E0\0000EA4B\0000EA4B_ax_t2_tse_Med_DRS_480_20251126000000_3.nii.gz
0000324F,3.0,2D,*tse2d1_17,4.0,0.088,6.11,150,17,2.0,164.949,191,"[0.999947, -0.0102775, 0.00010094, 0.010278, 0.999899, -0.00982048]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-017\DICOM\0000D989\AABB2B5D\AA7DF3FA\0000324F\0000324F_ax_t2_tse_20251121000000_2.nii.gz
000084BF,3.0,2D,*tse2d1_17,3.0,0.088,6.0,150,17,2.0,149.977,191,"[0.999999, -0.00129847, -0.000580362, 0.000239248, 0.555813, -0.831307]","['anat', '_acq-tse2p2_run-14_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-017\DICOM\0000D989\AABB2B5D\AA7DF3FA\000084BF\000084BF_cor_t2_tse_20251121000000_14.nii.gz
0000A5C5,3.0,2D,*tse2d1_17,4.0,0.086,5.96,150,17,4.0,41.699,193,"[0.999947, -0.0102968, 0.000101129, 0.0102973, 0.999899, -0.00982048]","['anat', '_acq-tse2p4_run-3_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-017\DICOM\0000D989\AABB2B5D\AA7DF3FA\0000A5C5\0000A5C5_ax_t2_tse_Med_DRS_480_20251121000000_3.nii.gz
0000BAD5,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17,2.0,182.139,191,"[0.999877, -0.015389, -0.0031556, 0.0157092, 0.979496, 0.200851]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-011-020\Min-Mo-016\DICOM\00004F3E\AA841022\AA6E6E6D\0000BAD5\0000BAD5_ax_t2_tse_20251121000000_2.nii.gz
