SeriesHash,SubjectID,MagneticFieldStrength,MRAcquisitionType,PulseSequenceName,SliceThickness,EchoTime,RepetitionTime,FlipAngle,EchoTrainLength,ParallelReductionFactorInPlane,AcquisitionDuration,PixelBandwidth,ImageOrientationPatientDICOM,BidsGuess,NIfTIPath
000044B1,Min-Mo-006,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,245.642,119,"[0.999848, 0.0174524, 4.10655e-05, -0.0174524, 0.999845, 0.00235264]","['anat', '_acq-swi3p2_run-12_part-mag_T2starw']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\000044B1\000044B1_ax_swi_ge3d_20251105000000_12.nii.gz
000053C7,Min-Mo-006,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.998061, 0.0622446, 0, -0.0622446, 0.998061, 0]","['derived', '_acq-spcR4p2_run-20_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\000053C7\000053C7_20251105000000_20.nii.gz
000053FF,Min-Mo-006,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.99926, 0.0383847, -0.00226466, -0.00996008, 0.201503, -0.979437]","['derived', '_acq-spcR4p2_run-18_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\000053FF\000053FF_20251105000000_18.nii.gz
000055EB,Min-Mo-006,3.0,2D,*tse2d1_17,5.0,0.088,6.36,150,17.0,2.0,88.997,191,"[0.998966, 0.0454529, -0.000686458, -0.00895131, 0.181882, -0.98328]","['anat', '_acq-tse2p2_run-16_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\000055EB\000055EB_cor_t2_tse_20251105000000_16.nii.gz
00005E15,Min-Mo-006,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999602, 0.0281946, 0.00126687, -0.0282231, 0.998594, 0.04487]","['derived', '_acq-spcR4p2_run-21_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\00005E15\00005E15_20251105000000_21.nii.gz
0000702C,Min-Mo-006,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.999062, 0.0432901, -0.00124325, -0.0102287, 0.207972, -0.978081]","['derived', '_acq-spcR4p2_run-19_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\0000702C\0000702C_20251105000000_19.nii.gz
00008927,Min-Mo-006,3.0,2D,*tse2d1_17,5.0,0.088,5.52,150,17.0,2.0,182.137,191,"[0.999848, 0.0174524, 4.10655e-05, -0.0174524, 0.999845, 0.00235264]","['anat', '_acq-tse2p2_run-2_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\00008927\00008927_ax_t2_tse_20251105000000_2.nii.gz
0000995D,Min-Mo-006,3.0,3D,*spcir_220ns,1.0,0.392,7.0,120,219.0,3.0,238.22,651,"[-0.0528469, 0.986229, 0.156716, -0.0370065, 0.154894, -0.987238]","['func', '_acq-spcir2p3_dir-RL_run-11_bold']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\0000995D\0000995D_sag_t2_spc_flair_fs_20251105000000_11.nii.gz
0000C4C0,Min-Mo-006,3.0,3D,*spcR_42ns,3.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.99926, 0.0383847, -0.00226466, -0.00996008, 0.201503, -0.979437]","['derived', '_acq-spcR4p2_run-7_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\0000C4C0\0000C4C0_20251105000000_7.nii.gz
0000DD97,Min-Mo-006,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[-0.0528469, 0.986229, 0.156716, -0.0370065, 0.154894, -0.987238]","['anat', '_acq-spcR4p2_run-17_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\0000DD97\0000DD97_sag_t1post_space_20251105000000_17.nii.gz
0000FF8C,Min-Mo-006,3.0,3D,*spcR_42ns,1.0,0.022,0.7,120,27.0,2.0,305.2,630,"[0.998061, 0.0622446, 0, -0.0622446, 0.998061, 0]","['derived', '_acq-spcR4p2_run-8_T2w']",W:\MinMo_CI\niftis\Min-Mo-006 to 010\Min-Mo-006\DICOM\000085C1\AAF23C1D\AAE7471F\0000FF8C\0000FF8C_20251105000000_8.nii.gz
00000207,Min-Mo-005,3.0,3D,*swi3d1r,1.6,0.02,0.028,15,,2.0,168.362,119,"[0.988182, 0.126545, -0.086504, -0.126063, 0.991961, 0.0110354]","['anat', '_acq-swi3p2_run-13_part-phase_T2starw']",W:\MinMo_CI\niftis\Min-Mo-001 to 005\Min-Mo-005\DICOM\0000C352\AAB5C999\AAF4C65F\00000207\00000207_ax_swi_ge3d_20251023000000_13_ph.nii.gz
